"","x"
"NLA06608-0006",41.0984855624165
"NLA06608-0007",44.7019168110581
"NLA06608-0010",97.7015358343452
"NLA06608-0021",9.32778587661058
"NLA06608-0037",97.652907857025
"NLA06608-0038",51.4277619787878
"NLA06608-0042",8.10860465534004
"NLA06608-0043",99.2534063823681
"NLA06608-0065",37.1796592097384
"NLA06608-0081",94.6951180419423
"NLA06608-0086",97.6961394395779
"NLA06608-0090",45.5831409957665
"NLA06608-0099",34.9934680145746
"NLA06608-0102",6.96025195501705
"NLA06608-0111",93.1201700796287
"NLA06608-0113",90.0769657595115
"NLA06608-0115",42.9217201689336
"NLA06608-0126",15.0763001416162
"NLA06608-0129",25.0008845555797
"NLA06608-0134",58.2357617079794
"NLA06608-0142",98.4260925502841
"NLA06608-0149",100
"NLA06608-0150",99.4848681659351
"NLA06608-0177",36.46637304713
"NLA06608-0183",60.0082904006225
"NLA06608-0189",22.3322773270322
"NLA06608-0209",71.2071292568112
"NLA06608-0219",99.4779576380383
"NLA06608-0225",84.0065527739395
"NLA06608-0234",56.6123810198131
"NLA06608-0235",52.0902180463465
"NLA06608-0238",68.0537753461922
"NLA06608-0240",69.3927243191608
"NLA06608-0243",50.6578680975011
"NLA06608-0257",21.6500466592502
"NLA06608-0275",31.5699941471892
"NLA06608-0286",53.8676850160075
"NLA06608-0291",13.8866158381705
"NLA06608-0299",99.2089196319708
"NLA06608-0333",96.1898746200146
"NLA06608-0337",83.6872649472802
"NLA06608-0350",97.587086859615
"NLA06608-0363",97.9715233673187
"NLA06608-0366",98.3904435400348
"NLA06608-0369",27.4460495596304
"NLA06608-0386",76.1860338445768
"NLA06608-0401",41.4098309617045
"NLA06608-0403",94.320747621514
"NLA06608-0405",49.5338594152202
"NLA06608-0433",12.2026459478111
"NLA06608-0445",96.1348916184236
"NLA06608-0449",93.4279647026019
"NLA06608-0467",98.4148218184452
"NLA06608-0469",98.5701620381244
"NLA06608-0470",95.0132301725007
"NLA06608-0494",99.1994935087108
"NLA06608-0498",98.4583652916796
"NLA06608-0502",95.2946898263211
"NLA06608-0509",29.210340890738
"NLA06608-0514",47.3712497183061
"NLA06608-0551",99.0616540859182
"NLA06608-0555",92.6180184746993
"NLA06608-0561",17.8137904506663
"NLA06608-0562",70.7970046257152
"NLA06608-0581",32.2762625984516
"NLA06608-0593",66.1760110914056
"NLA06608-0614",91.9404364061245
"NLA06608-0619",85.8463046530046
"NLA06608-0625",43.419512023066
"NLA06608-0637",60.5727595654631
"NLA06608-0658",40.2901793997179
"NLA06608-0715",22.7194019657128
"NLA06608-0727",65.5390010931244
"NLA06608-0738",50.9206323135339
"NLA06608-0753",89.0048287570426
"NLA06608-0754",29.8053004970037
"NLA06608-0766",97.2879032524489
"NLA06608-0771",96.8049816341751
"NLA06608-0782",97.9339517469569
"NLA06608-0811",99.2087769350351
"NLA06608-0823",95.5821452442087
"NLA06608-0842",-11.2134937042272
"NLA06608-0849",26.5797381422805
"NLA06608-0850",75.3007996250438
"NLA06608-0859",98.4307314617241
"NLA06608-0874",97.6470585172336
"NLA06608-0878",99.1998118896574
"NLA06608-0914",85.8312422991613
"NLA06608-0918",57.3928642075486
"NLA06608-0926",83.6074105906802
"NLA06608-0930",29.921388006467
"NLA06608-0934",3.17208492827087
"NLA06608-0938",62.3030484516935
"NLA06608-0942",73.5030087067749
"NLA06608-0950",89.0061889647342
"NLA06608-0962",34.2597996140749
"NLA06608-0974",79.049199364345
"NLA06608-0982",54.3115890514311
"NLA06608-0987",99.211623119487
"NLA06608-0990",98.4077643456609
"NLA06608-0997",73.4738284566449
"NLA06608-1008",67.1951307048267
"NLA06608-1014",91.1761085136224
"NLA06608-1034",96.1446162413312
"NLA06608-1041",97.5532791343002
"NLA06608-1045",23.4200507939483
"NLA06608-1057",18.9239427769662
"NLA06608-1058",55.1539220113148
"NLA06608-1102",93.1801108145215
"NLA06608-1130",97.6444631563354
"NLA06608-1131",65.8040616954443
"NLA06608-1150",34.5574174833475
"NLA06608-1153",11.0328531956353
"NLA06608-1162",97.6354710070201
"NLA06608-1163",99.2147619676347
"NLA06608-1166",19.2764585027562
"NLA06608-1167",96.147668237578
"NLA06608-1170",44.5827136541399
"NLA06608-1174",45.6151795947103
"NLA06608-1183",19.1280792698982
"NLA06608-1189",90.3530507020948
"NLA06608-1190",36.5787726178032
"NLA06608-1238",55.9190410049939
"NLA06608-1243",100
"NLA06608-1270",0.313670011201027
"NLA06608-1274",36.4007912855434
"NLA06608-1347",90.365086503945
"NLA06608-1355",83.9205721723253
"NLA06608-1360",100
"NLA06608-1377",75.7473515133317
"NLA06608-1390",98.4483057666931
"NLA06608-1403",92.1818509487553
"NLA06608-1425",97.7031605980771
"NLA06608-1434",33.3732555282759
"NLA06608-1450",65.5387637780233
"NLA06608-1454",82.7005372429752
"NLA06608-1460",97.6345713603103
"NLA06608-1465",71.5845713684932
"NLA06608-1473",86.1665738449917
"NLA06608-1481",-27.2785900647253
"NLA06608-1483",42.7159895921264
"NLA06608-1499",99.4633960934887
"NLA06608-1511",36.6767547296195
"NLA06608-1521",92.6883073764725
"NLA06608-1529",44.1232192412791
"NLA06608-1532",100
"NLA06608-1537",96.0782792088794
"NLA06608-1579",54.0760729230325
"NLA06608-1610",-0.116705436521631
"NLA06608-1626",68.0541340475656
"NLA06608-1633",56.402699642585
"NLA06608-1643",96.8778180142829
"NLA06608-1674",75.1881223745627
"NLA06608-1690",97.6451046337002
"NLA06608-1707",54.6848895381074
"NLA06608-1724",97.9563994903697
"NLA06608-1742",76.0339842236375
"NLA06608-1755",99.2128237641654
"NLA06608-1771",97.6550373602237
"NLA06608-1793",34.6434099413462
"NLA06608-1818",14.9010283998406
"NLA06608-1835",77.9309280611937
"NLA06608-1836",57.6478565150384
"NLA06608-1857",47.6927552722715
"NLA06608-1873",21.8255858343033
"NLA06608-1884",96.2538967163136
"NLA06608-1953",86.0593261644599
"NLA06608-1958",38.2096036741307
"NLA06608-1975",98.9672429476301
"NLA06608-1985",25.5038820523063
"NLA06608-2027",15.236952377781
"NLA06608-2049",99.5886046703401
"NLA06608-2155",94.4273339243359
"NLA06608-2162",89.1680114151005
"NLA06608-2170",51.072486773346
"NLA06608-2177",85.7731395525979
"NLA06608-2241",97.5171009589372
"NLA06608-2250",20.5673574108708
"NLA06608-2266",25.5914875180357
"NLA06608-2283",97.6403941935054
"NLA06608-2305",97.2944738926375
"NLA06608-2322",98.0367587308731
"NLA06608-2332",42.5525114595905
"NLA06608-2354",98.4744249834532
"NLA06608-2429",35.1252160119128
"NLA06608-2463",57.8869747425991
"NLA06608-2507",98.4271135832835
"NLA06608-2513",97.6914438832509
"NLA06608-2523",99.2121248672885
"NLA06608-2685",71.3063868149332
"NLA06608-2726",96.6496665633099
"NLA06608-2753",97.7491627220431
"NLA06608-2779",97.640647830726
"NLA06608-2833",97.6064054700723
"NLA06608-2874",89.4100161224822
"NLA06608-2881",11.9464493960102
"NLA06608-2891",96.1607487848522
"NLA06608-3035",99.2097158006684
"NLA06608-3153",35.7694765267653
"NLA06608-3157",37.2545658798699
"NLA06608-3265",97.5450974295104
"NLA06608-3698",43.1763160199785
"NLA06608-3846",68.6378498807689
"NLA06608-3890",49.4811060784603
"NLA06608-4252",86.330999380886
"NLA06608-9999",21.1725789478386
"NLA06608-ALPS-1218",98.1608972788631
"NLA06608-NELP-0253",35.3128031939673
"NLA06608-NELP-0955",17.7251599030916
"NLA06608-NELP-1330",97.253327019083
"NLA06608-NELP-2155",50.243793337062
"NLA06608-NELP-3355",32.7819050364398
"NLA06608-NELP-3586",13.4887113839557
"NLA06608-NH4912",14.115718614466
"NLA06608-R10BULLTR",59.4207548148481
"NLA06608-R10FOURMI",4.0943414258106
"NLA06608-R10RAINYL",7.04480970341729
"NLA06608-R10SQUAWL",75.3032065373621
"NLA06608-R10YELLOW",15.9521316412977
"NLA06608-R34",32.47956123918
